,Theta,T,u / c
613,0.08314627055288168,6.145795795795796,0.930204888176523
614,0.08301140313433746,6.155780780780781,0.9303028485691741
615,0.08287697253068381,6.165765765765766,0.9304005303633388
616,0.08274297662318716,6.175750750750751,0.9304979347571447
617,0.08260941330679418,6.185735735735736,0.9305950629418113
618,0.08247628049002144,6.195720720720721,0.9306919161016987
619,0.08234357609484635,6.205705705705706,0.9307884954143565
620,0.08221129805659899,6.215690690690691,0.9308848020505759
621,0.082079444323855,6.225675675675676,0.9309808371744338
622,0.08194801285832963,6.235660660660661,0.9310766019433455
623,0.08181700163477257,6.245645645645646,0.9311720975081109
624,0.08168640864086409,6.25563063063063,0.9312673250129601
625,0.08155623187711183,6.265615615615616,0.9313622855956039
626,0.08142646935674892,6.275600600600601,0.9314569803872783
627,0.0812971191056328,6.2855855855855856,0.9315514105127909
628,0.08116817916214508,6.295570570570571,0.9316455770905673
629,0.08103964757709252,6.305555555555555,0.9317394812326959
630,0.08091152241360865,6.315540540540541,0.9318331240449739
631,0.08078380174705659,6.325525525525526,0.9319265066269513
632,0.08065648366493264,6.3355105105105105,0.932019630071975
633,0.08052956626677078,6.345495495495496,0.9321124954672336
634,0.0804030476640482,6.35548048048048,0.9322051038937996
635,0.08027692598009152,6.365465465465466,0.9322974564266744
636,0.0801511993499841,6.375450450450451,0.9323895541348295
637,0.08002586592047406,6.3854354354354355,0.9324813980812501
638,0.07990092384988319,6.395420420420421,0.9325729893229752
639,0.07977637130801687,6.405405405405405,0.9326643289111426
640,0.07965220647607457,6.415390390390391,0.9327554178910274
641,0.07952842754656135,6.425375375375376,0.9328462573020844
642,0.07940503272320022,6.43536036036036,0.9329368481779877
643,0.07928202022084517,6.445345345345346,0.9330271915466727
644,0.07915938826539513,6.45533033033033,0.933117288430375
645,0.07903713509370863,6.465315315315316,0.9332071398456703
646,0.07891525895351938,6.475300300300301,0.9332967468035127
647,0.07879375810335247,6.485285285285285,0.9333861103092764
648,0.07867263081244148,6.495270270270271,0.9334752313627915
649,0.07855187536064628,6.505255255255255,0.9335641109583838
650,0.07843149003837156,6.5152402402402405,0.9336527500849119
651,0.07831147314648626,6.525225225225226,0.9337411497258068
652,0.0781918229962435,6.53521021021021,0.9338293108591079
653,0.07807253790920143,6.545195195195196,0.9339172344574989
654,0.07795361621714482,6.55518018018018,0.9340049214883477
655,0.07783505626200714,6.5651651651651655,0.9340923729137398
656,0.07771685639579361,6.575150150150151,0.934179589690517
657,0.07759901498050482,6.585135135135135,0.9342665727703112
658,0.07748153038806106,6.595120120120121,0.9343533230995813
659,0.07736440100022733,6.605105105105105,0.9344398416196482
660,0.07724762520853903,6.61509009009009,0.9345261292667291
661,0.07713120141422841,6.625075075075075,0.9346121869719738
662,0.07701512802815148,6.63506006006006,0.9346980156614975
663,0.07689940347071583,6.645045045045046,0.9347836162564157
664,0.0767840261718089,6.65503003003003,0.9348689896728783
665,0.07666899457072698,6.665015015015015,0.9349541368221025
666,0.07655430711610488,6.675,0.9350390586104064
667,0.0764399622658461,6.684984984984985,0.9351237559392427
668,0.07632595848705383,6.6949699699699705,0.9352082297052308
669,0.07621229425596238,6.704954954954955,0.9352924808001895
670,0.07609896805786925,6.71493993993994,0.9353765101111682
671,0.07598597838706797,6.724924924924925,0.9354603185204818
